graphemes,phonemes
X,ɛks
I,aɪ
SIXTY,sɪksti
ONE,wʌn
G,dʒiː
TWO,tuː
EIGHTY,eɪɾi
NINE,naɪn
YES,jɛs
R,ɑːɹ
E,iː
W,dʌbəljuː
Y,waɪ
EIGHT,eɪt
FIVE,faɪv
SIX,sɪks
NO,noʊ
ERASE,ᵻɹeɪs
H,eɪtʃ
ZERO,ziəɹoʊ
FOUR,foːɹ
START,stɑːɹt
ENTER,ɛntɚ
T,tiː
V,viː
A,eɪ
FIFTY,fɪfti
THREE,θɹiː
FORTY,fɔːɹɾi
B,biː
Q,kjuː
THIRTY,θɜːɾi
P,piː
U,juː
F,ɛf
Z,ziː
O,oʊ
RUBOUT,ɹuːbaʊt
N,ɛn
SEVEN,sɛvən
L,ɛl
K,keɪ
M,ɛm
J,dʒeɪ
HELP,hɛlp
FIFTEEN,fɪftiːn
REPEAT,ɹᵻpiːt
D,diː
SEVENTY,sɛvənti
OH,oʊ
GO,ɡoʊ
STOP,stɑːp
S,ɛs
TWENTY,twɛnti
SEVENTEEN,sɛvəntiːn
NINETY,naɪnti
TEN,tɛn
C,siː
FOURTEEN,foːɹtiːn
THOUSAND,θaʊzənd
TWELVE,twɛlv
HUNDRED,hʌndɹɪd
AND,ænd
HALF,hæf
ELEVEN,ᵻlɛvən
FIFTH,fɪfθ
APOSTROPHE,ɐpɔstɹəfi
AREA,ɛɹiə
CODE,koʊd
MARCH,mɑːɹtʃ
THIRD,θɜːd
NINETEEN,naɪntiːn
JUNE,dʒuːn
ELEVENTH,ᵻlɛvənθ
SEPTEMBER,sɛptɛmbɚ
FIFTEENTH,fɪftiːnθ
MAY,meɪ
FIRST,fɜːst
OCTOBER,ɑːktoʊbɚ
JANUARY,dʒænjuːɛɹi
SIXTEEN,sɪkstiːn
DECEMBER,dᵻsɛmbɚ
EIGHTEENTH,eɪtiːnθ
JULY,dʒuːlaɪ
THIRTIETH,θɜːɾiəθ
TWELFTH,twɛlfθ
SEVENTH,sɛvənθ
OF,ʌv
AUGUST,ɔːɡəst
SIXTEENTH,sɪkstiːnθ
SECOND,sɛkənd
FEBRUARY,fɛbɹuːɛɹi
EIGHTH,eɪtθ
NINTH,naɪnθ
SIXTH,sɪksθ
EIGHTEEN,eɪtiːn
APRIL,eɪpɹəl
FOURTH,foːɹθ
